State,Avg_tempF,Avg_Rain_In,Avg_Snow_In,Sunny_Days,Morn_Humid,Aftnoon_Humid ,Avg_Humid,ABR
Alabama,62.8,58.3,1.6,99,58,52,55,AL
Alaska,26.6,22.5,74.5,61,41,64,52.5,AK
Arizona,60.3,13.6,0.3,193,85,25,55,AZ
Arkansas,60.4,50.6,5.2,123,61,49,55,AR
California,59.4,22.2,0,146,68,62,65,CA
Colorado,45.1,15.9,19.1,136,71,35,53,CO
Connecticut,49,50.3,40.5,82,56,52,54,CT
Delaware,55.3,45.7,20.2,97,79,54,66.5,DE
Florida,70.7,54.5,0,101,66,57,61.5,FL
Georgia,63.5,50.7,0.7,112,66,50,58,GA
Hawaii,70,63.7,0,90,71,56,63.5,HI
Idaho,44.4,18.9,19.2,120,64,41,52.5,ID
Illinois,51.8,39.2,24.6,95,56,58,57,IL
Indiana,51.7,41.7,25.9,88,55,58,56.5,IN
Iowa,47.8,34,34.9,105,59,56,57.5,IA
Kansas,54.3,28.9,14.7,128,65,50,57.5,KS
Kentucky,55.6,48.9,12.5,93,56,55,55.5,KY
Louisiana,66.4,60.1,0,101,57,61,59,LA
Maine,41,42.2,61.8,101,57,61,59,ME
Maryland,54.2,44.5,20.2,105,57,52,54.5,MD
Massachusetts,47.9,47.7,43.8,98,58,59,58.5,MA
Michigan,44.4,32.8,51.1,71,51,61,56,MI
Minnesota,41.2,27.3,54,95,58,55,56.5,MN
Mississippi,63.4,59,0.9,111,61,54,57.5,MS
Missouri,54.5,42.2,17,115,60,53,56.5,MO
Montana,42.7,15.3,38.1,82,59,45,52,MT
Nebraska,48.8,23.6,25.9,117,61,53,57,NE
Nevada,49.9,9.5,21.8,158,79,32,55.5,NV
New Hampshire,43.8,43.4,60.8,90,54,53,53.5,NH
New Jersey,52.7,47.1,16.5,94,56,59,57.5,NJ
New Mexico,53.4,14.6,9.6,167,76,29,52.5,NM
New York,45.4,41.8,"123.8	",63,46,61,53.5,NY
North Carolina,59,50.3,7.6,109,60,52,56,NC
North Dakota,40.4,17.8,51.2,93,59,51,55,ND
Ohio,50.7,39.1,27.5,72,50,57,53.5,OH
Oklahoma,59.6,36.5,7.8,139,68,48,58,OK
Oregon,48.4,27.4,3,68,48,59,53.5,OR
Pennsylvania,48.8,42.9,28.2,87,58,54,56,PA
Rhode Island,50.1,47.9,33.8,98,58,57,57.5,RI
South Carolina,62.4,49.8,0.5,115,64,49,56.5,SC
South Dakota,45.2,20.1,43.9,104,63,53,58,SD
Tennessee,57.6,54.2,6.3,102,56,53,54.5,TN
Texas,64.8,28.9,1.5,135,61,49,55,TX
Utah,48.6,12.2,56.2,125,66,43,54.5,UT
Vermont,42.9,42.7,81.2,58,49,58,53.5,VT
Virginia,55.1,44.3,10.3,100,63,52,57.5,VA
Washington,48.3,38.4,5,58,47,62,54.5,WA
West Virginia,51.8,45.2,62,60,83,59,71,WV
Wisconsin,43.1,32.6,50.9,89,54,58,56,WI
Wyoming,42,12.9,91.4,114,68,43,55.5,WY
